Handset Manufacturer,Engagement Score,Satisfaction Score,Total Session Duration (s)
New-Bund Technology Co Limited,5901594.5,41512.1125,54.74475
Zyxel Communications Corp,79595241.5,39825.985,86.267
Ovvi-Cellphone Tech. Inc.,8762391,39476.205,32.675
Doke Communication (Hk) Limited,1139959,36729.25,27.288
Shenzhen Leagoo Intelligence Co Ltd,1673624,24447.05,32.9185
Lephone,2799039,22834.355,35.164
Shenzhen Chainway Information Technology Co Ltd,128839,21298.315,86.399
Beijing Shenqi Technology Co Ltd,3397361,19812.285,39.02
Mundo Reader S.L.,84761,19451.84,31.775
Bird,15108804,16896.54,101.4235
Shanghai Chengyu Media Technology Co Ltd,3780916,16011.155,17.774
Huawei,11066519.48,15453.34846,96.09555957
Oneplus Technology (Shenzhen) Co Ltd,2171394.944,14664.28463,52.0868538
Civicom Technology (Hk) Co Limited,2651789,13389.725,60.768
Wileyfox Europe Limited,847659,13034.395,43.02266667
Spa Condor Electronics,4394263.76,12851.1192,38.89908
Oppo,4715193.441,12376.74787,34.56326471
Essential Products Inc.,112509,12287.19,24.616
LG,1664752.241,12261.35412,42.27905556
Umi Network Technology Co Limited,697654.8,12207.96254,40.0706
Shenzhen Huanuo Internet Technology Co Ltd,10410640.33,12188.845,67.72066667
A-Link Telecom International Co Limited,1248352.5,12122.42125,28.9435
Razer Inc,1752588,11849.6,100.7925
Fairphone B.V,1034791,11675.765,33.69675
TCL Communication Ltd,12067993.28,11591.70072,64.32888
Netgear Inc,7399789.75,11577.34981,78.63125
Shenzhen City Ramos Digital Technology Co Ltd,2429414,11400.86271,64.451
Xiaomi Communications Co Ltd,2332869.315,11160.14757,43.30531738
HTC,2370087.455,11101.42545,49.15818182
Google Inc,1051150.951,10770.02232,78.27041463
Asustek,2389415.639,10025.84295,41.55588772
Tp-Link Technologies Co Ltd,9006011.395,9894.820998,209.8003953
ASUSTeK,3058560.739,9794.550217,38.27017391
Nubia Technology Co Ltd,1707643,9741.131,44.1404
Lg,2544642.65,9731.689605,49.56215447
D-Link Corporation,8447959.435,9590.555788,88.062
Tecno Telecom (Hk) Limited,608013.3333,9183.206667,38.05666667
TP-Link Technologies Co Ltd,6700244.234,8917.517584,114.4186383
Neel Enterprise,4061084.333,8911.218333,63.78466667
Sony Mobile Communications Ab,1726800.096,8617.714556,70.41154592
Dg Homtom Group Co Limited,656335.1667,8230.039167,49.589
Yop Technology Co Limited,1331010,8014.51,36.047
China Trade Group S.A.S,417966.5,7243.055,59.335
Meizu Technology Co Ltd,1776691.467,7027.615847,52.60566667
Sierra Wireless,18476110,6841.6195,72.3671
Ecom Instruments GmbH,277048.5,6821.6225,48.1155
Lenovo,1419423.421,6776.175972,58.93824016
Qingdao Hisense Communications Co Ltd,987837.3448,6661.444483,48.03493103
Kvd International Group Limited,733873.5,6657.71075,51.29925
Hmd Global Oy,1225576.882,6484.251107,46.13113194
Unknown,1932752.468,6221.819794,66.00420727
Shenzhen Boway Electronic Co Ltd,7071156.8,6094.976,43.9466
Crosscall,1294716.124,6067.666807,57.08775248
Tianlong International (Hk) Co Ltd,743292,5968.87,86.395
Electro Depot France Sas,6325490.833,5938.632118,80.28033333
Sony Mobile Communications AB,1421328.979,5882.567433,53.83658042
Haier,497718.8333,5847.121667,54.23933333
Fully Holdings (Hk) Co Limited,868048.8,5515.672,54.2576
Htc,1474485.887,5454.925949,47.49534591
Yota Devices,1780762.5,5222.5475,41.528
Archos Sa,1051444.275,5162.080506,49.09115686
Hem,15668112.71,5137.121429,50.056
Apple,783620.0465,5087.503103,98.76155395
Samsung,903249.0236,5069.35121,121.6649885
Shenzhen Jeko Communication Co Limited,813450.0313,5058.557656,55.81653125
Sintave Technology (Group) Co Ltd,1493649,5046.465,46.603
undefined,843104.9701,5029.707165,127.1347549
Dn Electronics,1539737.727,4932.175,85.20090909
Ddm Brands Llc,2731643,4907.906667,72.08666667
Lemobile Information Technology (Beijing) Co Ltd,1520020.5,4786.7325,38.41283333
M S Soha Enterprise,2696984,4721.425,86.398
Tct Mobile Suzhou Limited,2989472.727,4639.910701,51.93009091
Wiko Global Sasu,1602586.596,4468.282132,60.79955288
Wiko,2900280.5,4329.829722,78.22211111
Gigaset Communications Gmbh,960114.6667,4287.756667,63.059
Shenzhen Xin Kingbrand Technology Development Co Ltd,216602,4177.4125,23.2015
Sdt Electronica,448636.5,4065.29,19.6505
Modelabs,908021.3333,4064.08,60.64008333
ZTE,1455869.333,4019.583333,53.34733333
Sfr,1679656.545,3999.331155,72.83372727
Kook (Hong Kong) Technology Limited,1959368.4,3876.799,55.0216
Wistron,1728888.75,3783.331927,86.12375
Teletalk Pvt Ltd,2206010.5,3744.47,86.0675
Casper Bilgisayar Sistemleri A.S,2328044,3711.39,15.033
Compal Electronics Inc,193249,3547.14,85.8
Lidaxin Technology Limited,5541694.667,3499.426667,86.124
Doro Ab,342644.3684,3486.812632,44.48368421
Quartel Infotech Ltd,8469202,3469.6275,86.1615
Orbita Telecom Ltd,3601321.818,3448.440909,66.176
Gotron (Hk) Electronic Co Limited,432271.6667,3385.763333,48.278
Leagoo Intl Co. Limited,567192.5,3368.6075,45.789
Shenzhen Jsr Technology Co Ltd,206290,3347.71,19.839
Shenzhen Diadem Technology Co Ltd,145636.5,3295.475,10.977
Bullitt Group Limited,553104.5,3280.3575,47.47975
Rainbow Communication (Private) Limited,844020,3181.985,41.323
Logicom Sa,1085871.298,2992.321924,54.50817021
Tcl Communication Ltd,835656.3318,2986.315371,65.49996818
Shenzhen Fortuneship Technology Co Ltd,1642509.429,2947.887143,48.46714286
Ertebat Hamrah Guya Arvand,1746708.875,2769.13125,89.9165
Infocus Corporation,93669.33333,2766.291667,56.14133333
Honstech Communication Co Ltd,3133161,2713.375,51.362
Group Acquisitions Limited,840352,2623.286354,58.4295
Yi Sheng Technology International (Hk) Co Limited,424587,2607.49,86.399
SFR,211740.5,2578.514427,68.2765
Itel Technology Limited,1723600,2359.4175,78.2805
Microsoft Mobile Oy,345707.7326,2236.570459,55.93136898
Infinix Technology Limited,981487.5,2202.3325,47.34733333
Vplus Communication Technology Co Limited,3840555.333,2032.608333,53.923
Tinno Mobile Technology Copr,2029786.333,2007.775,55.2635
Shenzhen Malata,137114,1873.285,86.399
Maysun Info Technology Co Ltd,2017387.25,1701.47375,54.9955
